time_delta,src_ip,dst_ip,dst_port,dns,sni
0.0,192.168.0.194,192.168.0.1,53,NONE,NONE
0.007494,192.168.0.1,192.168.0.194,58842,NONE,NONE
0.476844,192.168.0.194,20.205.69.80,443,NONE,NONE
0.0,192.168.0.194,20.205.69.80,443,NONE,NONE
0.126683,103.118.170.253,192.168.0.194,NA,NONE,NONE
0.000155,20.205.69.80,192.168.0.194,64081,NONE,NONE
0.021812,54.224.168.74,192.168.0.194,62928,NONE,NONE
0.0,54.224.168.74,192.168.0.194,62928,NONE,NONE
0.000437,192.168.0.194,54.224.168.74,443,NONE,NONE
0.04444,20.205.69.80,192.168.0.194,64081,NONE,NONE
0.055218,192.168.0.194,20.205.69.80,443,NONE,NONE
0.411178,54.158.188.192,192.168.0.194,62929,NONE,NONE
0.0,54.158.188.192,192.168.0.194,62929,NONE,NONE
0.000352,192.168.0.194,54.158.188.192,443,NONE,NONE
0.30395,192.168.0.194,104.90.5.17,443,NONE,NONE
0.013079,104.90.5.17,192.168.0.194,49153,NONE,NONE
0.265614,192.168.0.194,34.107.221.82,80,NONE,NONE
0.000111,192.168.0.194,34.107.221.82,80,NONE,NONE
0.023203,34.107.221.82,192.168.0.194,64079,NONE,NONE
0.0,34.107.221.82,192.168.0.194,64082,NONE,NONE
0.320413,192.168.0.194,98.95.218.155,443,NONE,NONE
0.829225,192.168.0.194,20.42.65.91,443,NONE,NONE
0.000142,192.168.0.194,20.42.65.91,443,NONE,NONE
0.228645,20.42.65.91,192.168.0.194,64579,NONE,NONE
0.002795,20.42.65.91,192.168.0.194,64579,NONE,NONE
0.001238,192.168.0.194,20.42.65.91,443,NONE,NONE
0.263173,20.42.65.91,192.168.0.194,64579,NONE,NONE
0.152517,192.168.0.194,192.168.0.1,53,NONE,NONE
0.033551,192.168.0.1,192.168.0.194,58842,NONE,NONE
0.003844,192.168.0.194,43.224.1.142,443,NONE,NONE
0.00031,192.168.0.194,43.224.1.142,443,NONE,NONE
0.000264,192.168.0.194,43.224.1.142,443,NONE,NONE
0.022559,43.224.1.142,192.168.0.194,50575,NONE,NONE
0.0,43.224.1.142,192.168.0.194,50575,NONE,NONE
0.0,43.224.1.142,192.168.0.194,50575,NONE,NONE
0.001194,192.168.0.194,43.224.1.142,443,NONE,NONE
5.8e-05,43.224.1.142,192.168.0.194,50575,NONE,NONE
0.0,43.224.1.142,192.168.0.194,50575,NONE,NONE
0.0,43.224.1.142,192.168.0.194,50575,NONE,NONE
0.000465,43.224.1.142,192.168.0.194,50575,NONE,NONE
0.0,43.224.1.142,192.168.0.194,50575,NONE,NONE
